Date,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,Weather,Month,Weather_Label,Target_Next_Day_Label
2009-01-01,-1.9231317086775443,-1.7014438341267848,-0.783003690227423,-0.5829324953305044,0.26676228707287325,1.4955836958647373,1.8847315596530398,0.49956849725677255,,Cloudy,1,1,1.0
2009-01-02,-2.210531359894856,-2.538638666982797,0.06476331772744674,0.2683089949199354,-0.5503041972646869,0.8699386793546571,1.1122850673020674,0.8005656441028385,,Cloudy,1,1,13.0
2009-01-03,-3.14458022635112,-3.3235088227853087,-0.967300865869786,-0.7892940687245504,-0.21386505665510333,1.315109171871445,1.3565630178745973,1.1015627909489045,,Partly cloudy,1,13,13.0
2009-01-04,-2.5697809239164964,-2.800262052250301,-1.4833329576684025,-1.356788395558177,-0.5663251087222861,0.8458754094888848,0.11536694469525695,0.981163932210478,,Partly cloudy,1,13,13.0
2009-01-05,-1.7075819702645603,-1.8584178652872871,-1.2621763468975669,-1.2536076088611539,-0.5663251087222861,0.25632529777746316,-0.5448437325277964,0.7403662147336253,,Partly cloudy,1,13,17.0
2009-01-06,-1.3483324062429203,-1.1781970635917771,-1.1147386063836764,-0.9698604454443407,-0.5342832858070877,0.25632529777746316,-0.5514458393000269,0.8607650734720517,,Sunny,1,17,13.0
2009-01-07,-1.2764824934385923,-1.1258723865382763,-1.3727546522829845,-1.3825835922324328,-0.39009508268869475,0.6533692505627063,-0.5250374122111048,1.4627593671641836,,Partly cloudy,1,13,17.0
2009-01-08,-1.9949816214818723,-1.8584178652872871,-0.7461442550989504,-0.7119084787017832,-0.5663251087222861,-0.02040230567891841,-1.2182586232953108,2.0647536608563155,,Sunny,1,17,0.0
2009-01-09,-2.5697809239164964,-2.6432880210897984,0.7282331500399535,0.6294417483595159,-0.5663251087222861,-0.7904269413836323,-1.7332229515292923,2.365750807702381,,Clear,1,0,17.0
2009-01-10,-3.3601299647641043,-3.689781562159814,0.6545142797830084,0.6036465516852602,-0.5663251087222861,-0.8024585763165185,-1.0267975269006253,2.4259502370715946,,Sunny,1,17,13.0
2009-01-11,-3.719379528785744,-4.160703655641321,-0.19325272817186143,-0.09282375851964515,-0.5663251087222861,-0.5016677029943646,-0.6174669070223322,2.365750807702381,,Partly cloudy,1,13,13.0
2009-01-12,-2.857180575133808,-3.061885437517805,-1.2621763468975669,-1.150426822164131,-0.5663251087222861,-0.4655727981957062,-0.3071678887274972,3.0279445307637265,,Partly cloudy,1,13,0.0
2009-01-13,-2.354231185503512,-3.061885437517805,0.24906049336980973,0.21671860157142386,-0.5663251087222861,-0.994964735242697,-0.9475722456338589,3.7503376831942847,,Clear,1,0,0.0
